40.28208037,-111.65211457,black,square
40.28179795,-111.65194783,black,square
40.28192211,-111.65184008,black,square
40.28198951,-111.65203611,black,square
40.28180865,-111.65190032,black,square
40.28195167,-111.65167669,black,square
40.28176709,-111.65162027,black,square
40.28178290,-111.65215692,black,square
40.28234825,-111.65333064,black,square
40.28276723,-111.65596550,black,square
40.28273308,-111.65607684,black,square
40.28293549,-111.65722449,black,square
40.28303127,-111.65821359,black,square
40.28302499,-111.65820106,black,square
40.28298613,-111.65823764,black,square
40.28290414,-111.66072358,black,square
40.28286360,-111.66239661,black,square
40.28287423,-111.66264402,black,square
40.28288242,-111.66273688,black,square
40.28288254,-111.66275187,black,square
40.28288184,-111.66274547,black,square
40.28288179,-111.66274367,black,square
40.28276354,-111.67029797,black,square
40.28269493,-111.67059263,black,square
40.28268493,-111.67063558,black,square
40.28259389,-111.67161072,black,square
40.28239134,-111.67508460,black,square
40.28240030,-111.67512453,black,square
40.28245712,-111.67508450,black,square
40.28218670,-111.67736026,black,square
40.28217550,-111.67819026,black,square
40.28234743,-111.67956509,black,square
40.28242457,-111.68084685,black,square
40.28240043,-111.68201378,black,square
40.28232406,-111.68263346,black,square
40.28228631,-111.68262660,black,square
40.28227833,-111.68245045,black,square
40.28261223,-111.68683626,black,square
40.28246583,-111.68713717,black,square
40.28244305,-111.68718400,black,square
40.28254474,-111.68721379,black,square
40.28250826,-111.68726625,black,square
40.28248801,-111.68727416,black,square
40.28235670,-111.68775572,black,square
40.28235627,-111.68814522,black,square
40.28238573,-111.68794406,black,square
40.28233299,-111.68806880,black,square
40.28225536,-111.68826172,black,square
40.28230586,-111.68923520,black,square
40.28242638,-111.69026553,black,square
40.28243580,-111.69033259,black,square
40.28242866,-111.69027380,black,square
40.28242881,-111.69027521,black,square
40.28247109,-111.69007087,black,square
40.28251612,-111.69625314,black,square
40.28251544,-111.69741436,black,square
40.28251537,-111.69753640,black,square
40.28251541,-111.69746631,black,square
40.28256151,-111.69811745,black,square
40.28249851,-111.70188191,black,square
40.28254761,-111.70263641,black,square
40.28252736,-111.70374282,black,square
40.28249312,-111.70675584,black,square
40.28252311,-111.70736823,black,square
40.28293690,-111.71144414,black,square
40.28275095,-111.71159222,black,square
40.28259053,-111.71263043,black,square
40.28256324,-111.71290563,black,square
